"","wavelength","EBLAd231025","EBlank1","EBlank2","EBlank3","EBlank4","ENWAd231025","ENWAdup231025","ESLBd231025","EWBd231025"
"1",240,0.105134440380481,0.00068121085126888,-0.000645072870658837,-0.00087964072138395,-0.000122939476533457,0.0979744881609631,0.0973818381661589,0.0964416059286578,0.0892999931357086
"2",245,0.0969468025159403,0.000624902488006288,-0.000529389678519225,-0.000792090311393517,-2.67449354647237e-05,0.0890439811564327,0.0883747000970976,0.0845526093568235,0.0806749809050572
"3",250,0.0913270281038072,0.000620588302667042,-0.000430051825453984,-0.000626086515696602,0.000101833077376949,0.0833429997367794,0.0825374336420549,0.0783076941655778,0.075082579231479
"4",255,0.0868161494015728,0.000637786301579337,-0.000288868234803888,-0.000435693153924159,0.000251879282938041,0.0789201551322855,0.0780476656539122,0.0743193055732102,0.0705088382810804
"5",260,0.0828649020157534,0.000611702274659516,-0.000187118169245379,-0.000279097851957379,0.00033664073483316,0.0752818743783579,0.0743930060108906,0.0712524167039736,0.0666341960685878
"6",265,0.0790883074670931,0.000607861936308463,-9.05641494279098e-05,-0.000132349656312138,0.000413619594899857,0.0719966858993318,0.0710934540774642,0.068515175498225,0.0631133167688641
"7",270,0.0749497928780656,0.000585329900453202,-1.4274056372771e-05,-5.64234350446199e-05,0.000499093345428922,0.0686426267311232,0.0676957739453188,0.0655086561462141,0.0593948764613052
"8",275,0.0706691490772969,0.000540863883524942,-9.62734466439115e-06,-6.81274967489622e-05,0.000473768462692553,0.0652334807761451,0.0642856996059589,0.0622290477780613,0.0556292713318791
"9",280,0.0660760451431388,0.000568863183975117,4.30516220019214e-05,5.22289674214134e-06,0.000408134879268151,0.0615983328451543,0.0605439922295115,0.0585805314992296,0.0515766541573943
"10",285,0.0618385821600907,0.000509961447396294,-1.30240841864908e-05,-5.35441914549403e-05,0.000278824279648278,0.0583024015373199,0.0572260361023077,0.0552622572552795,0.0481000276597115
"11",290,0.0572368771628132,0.000493295697737689,-1.96272242138798e-05,-4.83502381619274e-05,0.000241724000289443,0.0546387365329194,0.0535348769179038,0.051524349464601,0.04452505474099
